Text,Sentiment,Score
rather ironic too since north koreas ideology of juche literally means selfreliance ,Neutral,-0.6892725229263306
the scene in first xmen  when wolverine sees his reflection over other xmen uniforms foreshadows the franchises future overreliance on the character ,Neutral,-0.9853889346122742
enters any reliancecroma store ,Neutral,-0.9997468590736389
scientists in china are a step closer to creating an artificial sun using nuclear fusion in a breakthrough that could break mankinds reliance on fossil fuels and offer unlimited clean energy forever more ,Positive,-0.9659991264343262
internal docs show ontario was aware it had an overreliance on international students ,Negative,-0.9974560141563416
injuries bad luck and a reliance on martin odegaard whats going wrong at arsenal ,Neutral,-0.5790737271308899
michael bisping uses feints to take advantage of anderson silvas overreliance on counterstriking ,Neutral,-0.9999812841415405
internal docs show ontario was aware it had an overreliance on international students ,Negative,-0.9974560141563416
researchers fed microalgae on leftover coffee grounds to produce highquality biodiesel  it could decrease reliance on palm oil to produce biofuel ,Neutral,-0.5590089559555054
david gaider former lead writer and creator of dragon age says bioware quietly resented its writers with a reliance on expensive narrative seen as the albatross holding the company back ,Neutral,-0.9590522050857544
reliance jio recently announced its q results revealing that approximately  million customers left the network during the quarter this loss coincided with a recent increase in jios recharge plan prices ,Negative,-0.9999756813049316
ignorance no reliance on a higher power ,Neutral,-0.9997536540031433
recent study reveals reliance on chatgpt is linked to procrastination memory loss and a decline in academic performance  these findings shed light on the role of generative ai in education suggesting both its widespread use and potential drawbacks ,Negative,-0.999991774559021
david gaider former lead writer and creator of dragon age says bioware quietly resented its writers with a reliance on expensive narrative seen as the albatross holding the company back ,Neutral,-0.9590522050857544
ubisoft moving away from reliance on aaa releases ,Neutral,-0.8786269426345825
nhls reliance on the chicago blackhawks in outdoor games is getting old ,Neutral,-0.5193251967430115
reliance jio announced the jio ai cloud welcome offer to start from diwali jio users will get up to  gb of free cloud storage will jio disrupt the cloud storage market now ,Neutral,-0.999848484992981
the uns top human rights official says her office sees strong evidence that govts on every continent are hiding their increasing reliance on private companies to snoop on citizens digital lives it warns that mass surveillance is becoming a dangerous habit rather than an exceptional measure ,Positive,-0.9958791732788086
canada eu in raw materials pact to cut china reliance ,Neutral,-0.6449258327484131
billionaire mukesh ambanis reliance industries laid off around  employees approximately  of its total workforce in fy ,Neutral,-0.999996542930603
til there is growing body of scientific research showing that reliance on gps erodes our ability to make our own mental maps ,Negative,-0.9999215602874756
everytime a tbm says to someone why dont you take a selfreliance class what we were told when we asked for food ,Neutral,-0.9997921586036682
latvia wants canadian natural gas imports to reduce reliance on russia says ambassador ,Neutral,-0.9997053742408752
a study determined that due to low wages and employees reliance on government subsidies a typical walmart store costs taxpayers over  million per year or about  per employee ,Neutral,-0.9986535310745239
westminsters reliance on elon musks x is totally wrong says labour mp ,Neutral,-0.9170592427253723
ontarios reliance on international students causing rent hikes economists ,Negative,-0.9996566772460938
reliance retail empire how many of these brands do you consume ,Neutral,-0.9997672438621521
eu plans massive increase in green energy to help end reliance on russia ,Neutral,-0.9513721466064453
yet another link between ambani  electoral bonds is foundlaxmidas vallabhdas merchant donated  crores via electoral bonds on th march he is currently group controller at reliance industries  also a board member in  different ambani companies ,Neutral,-0.9999951124191284
trump backers disturbing reliance on hoax and conspiracy theory websites in  chart ,Negative,-0.9999983310699463
my method for reducing reliance on paper towels in the kitchen unpaper towels ,Neutral,-0.9999387264251709
elon musk plans to fire  twitter staff quintuple revenue get  million users paying  a month and cut reliance on advertising income presentation to investors shows ,Neutral,-0.9919177889823914
buy american  white house confirms executive order that will end medical supply chain reliance on china ,Neutral,-0.8999878764152527
qatar to help germany cut reliance on russian gas says minister ,Neutral,-0.9983761310577393
microsoft readies its own ai chip to reduce nvidia reliance chatgpt currently costs k per day to run so securing cost savings and ai compute capacity is critical in the ai arms race ,Positive,-0.7928024530410767
funny how theyre all about self reliance until they have to flip burgers themselves to keep their business open ,Neutral,-0.9997902512550354
europes largest deposit of rare earth metals discovered in ancient norwegian volcano  lessening europes reliance on china for the elements ,Neutral,-0.7641289234161377
reliance jio has lost  million users in september  ,Negative,-0.9998553991317749
vladimir putin is in a painful economic bind  russias reliance on chna is becoming a problem ,Negative,-0.9999841451644897
crimea has europes nd largest natural gas reserves russia took control if it for that reason crimea alone could solve europes reliance on russian gas why hasnt nato or any country in the eu brought this up ,Neutral,-0.9968432188034058
no spoilers david gaider even bioware which built its success on a reputation for good stories and characters slowly turned from a company that vocally valued its writers to one where we were quietly resented with a reliance on expensive narrative seen as the albatross holding the company back ,Positive,-0.9924147725105286
or perhaps it was his over reliance in stando powah that killed him ,Negative,-0.8164206743240356
reliance claims jio g network improves device battery life by  percent ,Positive,-1.0
nostalgic tweet how much india has changed since  since reliance jio ,Neutral,-0.99830162525177
germany set to permanently pay for reliance on russian gasas power chief says significant structural demand destruction means it will never fully recover from energy crisis ,Negative,-0.9999325275421143
found some of that burning man radical self reliance dumped at an old folks home today  ,Neutral,-0.9928125739097595
in the force awakens rey scavenges a star destroyer foreshadowing the trilogys reliance on the past for any substance ,Neutral,-0.9440769553184509
its this kind of thing that makes me a little nervous for the greater reliance on streaming for  ,Negative,-0.9989961981773376
