Text,Sentiment,Score
the optimus robots at teslas cybercab event were humans in disguise ,Negative,-0.9997935891151428
police vandal spray paints f elon on  tesla cybertrucks in fort lauderdale ,Neutral,-0.9999374151229858
tesla model  charge port wont stay open ,Neutral,-0.999958872795105
tesla using full selfdriving hits deer without slowing doesnt stop ,Neutral,-0.9633458852767944
tesla stock pops  in premarket after report trump wants to relax us selfdriving rules ,Neutral,-0.9652844071388245
"tesla reports  decline in quarterly profit 

no surprise really every model is getting long in the tooth to say nothing of the maga ceo running it",Negative,-0.9972621202468872
why i no longer crave a tesla ,Neutral,-0.9455399513244629
musk record tesla pay package rejected again by delaware judge ,Neutral,-0.9323946237564087
he even tapered tesla logo ,Neutral,-0.9901755452156067
tesla sales drop  in california  ,Negative,-0.9999992847442627
tesla quietly removes all us job postings ,Neutral,-0.7115817666053772
tesla headquarters spills gallons of limegreen liquid into bay area street ,Negative,-0.8374077081680298
so many unsold teslas are piling up that you can see them from space tesla has a glut of nearly  cars just sitting around in lots so packed they can be seen from orbit ,Neutral,-0.8121039271354675
my teslas horn went off at am for over  minutes uncontrollably  fix from tesla ,Neutral,-0.5853063464164734
tesla owners turn against musk im embarrassed driving this car around  ,Neutral,-0.9999544620513916
tesla cybertruck fails to do what trucks are advertised to achieve ,Negative,-0.9998143315315247
californians are ashamed to drive teslas ,Neutral,-0.9999302625656128
tesla cybertruck gets massive price cut for both awd and cyberbeast ,Positive,-0.35020768642425537
some guys went to tesla drive the cybertruck but the its falling apart  ,Negative,-0.5823786854743958
weird video i found on imgur of a confused tesla owner seeing a bolt owner using a tesla charger ,Neutral,-0.9999731779098511
elon musk goes absolutely hard core in another round of tesla layoffs  after laying off  percent of its global workforce this month tesla is reportedly cutting more executives and its person supercharger team ,Negative,-0.545947790145874
angela chao shipping billionaire intoxicated when she drowned in tesla police report shows ,Neutral,-0.9998276233673096
tesla is recalling the cybertruck again this time because a piece can fly off ,Negative,-0.7682626247406006
figured out what the tesla cybertruck reminds me of ,Neutral,-0.9997336268424988
tesla recalls cybertrucks over accelerator crash risk ,Negative,-0.9993928670883179
buyers are avoiding teslas because elon musk has become so toxic ,Negative,-0.8894408941268921
tesla stock set to plummet further as elon musks personality puts customers off ,Negative,-0.999739944934845
tesla billionaire investor votes against restoring elon musks  billion pay package ,Neutral,-0.9994524121284485
tesla learns hard lesson go antiwoke go broke ,Neutral,-0.8666094541549683
wouldbe tesla buyers snub company as musks reputation dips ,Neutral,-0.9642738699913025
spotted a tesla disguised as a mazda  ,Neutral,-0.9871671795845032
the tesla layoff email ,Neutral,-0.9997656941413879
tesla profits drop  company says ev sales under pressure from hybrids ,Negative,-0.999987006187439
"the absolute madness of tesla 

just the sheer madness i know its just a multiple and future growth and all that still you gotta take a moment to contemplate this

the funny thing is that elon has outright liedbeing wrong with predictions like dates for models and stuff most recently the shenanigans with the robot at his events


but  weeks later he says  revenue growth next year and everyone believes him lol


thanks god im not a bear",Neutral,-0.5350314974784851
tesla lays off employee who slept in car to work longer hours ,Neutral,-0.9997326731681824
us billionaire drowns in tesla after rescuers struggle with cars strengthened glass ,Positive,-0.9999902248382568
tesla recalls the cybertruck for faulty accelerator pedals that can get stuck ,Negative,-0.7086443901062012
tesla recalls over  cybertrucks over laggy reverse cameras ,Negative,-0.9998499155044556
tesla cybertruck  hummer h ,Neutral,-0.9997187256813049
woman stuck in tesla for  minutes with  degrees temperature during vehicle update ,Neutral,-0.9998958110809326
us billionaire drowns in tesla after rescuers struggle with cars strengthened glass ,Positive,-0.9999902248382568
tesla cam captures a rear end collision ,Neutral,-0.9998881816864014
elon musks investor fan base cheers apparent approval of  billion tesla pay package ,Neutral,-0.5709981322288513
cybertruck influencer spends almost  on tesla branded garbage  not sure if this is materialistic overconsumption or mental illness ,Neutral,-0.9962577819824219
tesla owners are you all this comfortable ,Neutral,-0.9995125532150269
tesla cybertruck bricked after car wash claims user ,Neutral,-0.9999804496765137
i bet there are people who drive a tesla every day who have no idea who nicola tesla was or why its ironic that theyre named after him ,Neutral,-0.9995765089988708
nationality of nikola tesla according to wikipedia in europe ,Neutral,-0.9999961853027344
guess they didnt like their tesla ,Neutral,-0.9984613656997681
tesla driver charged with killing motorcyclist after turning on autopilot and browsing his phone ,Neutral,-0.99982750415802
oc tesla driver speeding up to not let me pass ,Neutral,-0.9963510036468506
to sell the tesla cybertruck for k ,Neutral,-0.9970576763153076
california may do ev rebates under trumpjust not for tesla ,Neutral,-0.9963346719741821
tesla cant see people stacked vertically ,Neutral,-0.9887951612472534
elon musk accused of massive insider trading at tesla ,Negative,-0.9794715642929077
the tesla cybertruck makes the pontiac aztek look like a masterpiece in comparison ,Neutral,-0.9999921321868896
swedens tesla blockade is spreading  starting friday dockworkers in all swedish ports will refuse to offload teslas cleaning crews will no longer clean showrooms and mechanics wont fix charging points ,Neutral,-0.7492071986198425
tesla cybertruck gets less than  of advertised range in youtubers test ,Neutral,-0.6194964051246643
tesla has the highest fatal accident rate of all car brands study finds ,Positive,-0.9999992847442627
elon musk promising tesla robotaxis for next year for almost a decade ,Positive,-0.9999794960021973
tesla  post market ,Neutral,-0.9989774227142334
climate protesters storm teslas gigafactory in germany ,Negative,-0.78583824634552
elon musk begs tesla shareholders to vote for his  billion pay package ,Neutral,-0.9999983310699463
tesla gets a  billion reality check as ev winter sets in ,Neutral,-0.999955415725708
tesla rn ,Neutral,-0.9977458119392395
elon musk must return  billion tesla pay package judge rules ,Neutral,-0.9996469020843506
elon musk insists tesla isnt a car company ,Neutral,-0.9977068901062012
bmw gives you free coffee snacks a massage chair and a loaner tesla ,Neutral,-0.9999934434890747
tesla is the worstperforming stock in the sp  this year ,Negative,-0.9999799728393555
us pto director says tesla ai turns everybody into a tall white man ,Neutral,-0.9998449087142944
how different cars brake on autopilot xiaomi su zeekr  tesla and avatr  ,Neutral,-0.9999598264694214
