Text,Sentiment,Score
russia economist drinks to countrys stock market collapse on live tv  rest in peace ,Neutral,-0.9418897032737732
"china bans selling of stocks at market open and close china has banned major institutional investors from reducing equity holdings at the open and close of each trading day part of the governments most forceful attempt yet to prop up the nations  trillion stock market

 firms affected by the ban are unable to sell more shares than they buy during the first and last  minutes of trading the people said",Negative,-0.9888544082641602
lol jp morgan says meme stonk resurgence is bad for the stock market when will the media admit its the shorts ftd cycles causing price action and they caused this not gme investors,Negative,-0.9996007084846497
walking into the stock market today ,Neutral,-0.999721348285675
how i console myself after losing money in stock market ,Neutral,-0.9316348433494568
oc the worst first half for the stock market in  years ,Negative,-0.9999933242797852
bye bye stock market  ,Neutral,-0.9982617497444153
white house were going to have to let some people die so the stock market can live ,Neutral,-0.7268243432044983
 trillion was wiped out of the stock market on this day  years ago ,Neutral,-0.9998074173927307
friendly reminder that the stock market doesnt care about politics ,Neutral,-0.9843990802764893
spacex hits bn stock market valuation ,Neutral,-0.4954475164413452
trump bemoans record stock market as just making rich people richer ,Positive,-0.999995231628418
trump said the stock market would crash if biden won the dow is having its best month since  ,Positive,-0.5351329445838928
"stock market tanks as trump unveils nightmare cabinet picks lead paragraphs

donald trumps controversial picks for his upcoming cabinet have rattled right past the american public and on to damaging wall street

in the wake of trumps decision to tap vaccine foe robert f kennedy jr to run the department of health and human services stocks linked to some of the biggest pharmaceutical companiesincluding moderna pfizer and novavaxplummeted to some of their lowest points of the year",Negative,-0.9999812841415405
the stock market is unfairly and unjustly sustained by the fed and only benefits the elite  ,Negative,-0.94073885679245
fox news apologizes for graphic linking black deaths with stock market gains ,Neutral,-0.9218059182167053
lds church stock riches drop by  billion as it sells exxon shares buys zoom the church sold exxon and marriot stock while purchasing zoom and grubhub stock opportunism on full display any church that gambles billions in the stock market is a business and should be taxed accordingly ,Neutral,-0.999981164932251
trump is melting down as the stock market halts trading for djt stock ,Negative,-0.9990739822387695
trump was right the stock market is crashing under biden ,Neutral,-0.6706136465072632
chad stock markets ,Neutral,-0.997239351272583
albert einstein of the stock markets ,Neutral,-0.9560710191726685
during live feed on russian tv the stock exchange expert drank and cheered to the death of the russian stock market and said that he would go to work as santa claus ,Neutral,-0.9974377155303955
kid turns  into  of debt within minutes in the stock market ,Neutral,-0.9999934434890747
the house impeached trump and the stock market did not crash like he said it would ,Negative,-0.9988970756530762
oc many of the stock markets biggest pandemic winners have given back all or nearly all of their gains ,Positive,-0.9791275858879089
the entire stock market vs hoarding some shiny rocks   years  ,Neutral,-0.9996457099914551
trump impeachment sends stock market soaring despite presidents warning it would crash ,Negative,-0.745445966720581
elizabeth warren and aoc slam wall streeters criticizing the gamestop rally for treating the stock market like a casino ,Negative,-0.9999898672103882
